Scientific name,common name ,weight
Sparus aurata,Dourada ,638.7
Sparus aurata,Dourada ,1145.6
Sparus aurata,Dourada ,676.2
Sparus aurata,Dourada ,589.1
Sparus aurata,Dourada ,258.9
Sparus aurata,Dourada ,744.2
Sparus aurata,Dourada ,677.3
Sparus aurata,Dourada ,639.9
Sparus aurata,Dourada ,554.5
Sparus aurata,Dourada ,630.8
Sparus aurata,Dourada ,657.8
Sparus aurata,Dourada ,628.6
Sparus aurata,Dourada ,608.6
Sparus aurata,Dourada ,467.3
Sparus aurata,Dourada ,642.2
Sparus aurata,Dourada ,1403.2
Sparus aurata,Dourada ,301.7
Sparus aurata,Dourada ,694.2
Sparus aurata,Dourada ,853.2
Sparus aurata,Dourada ,598.8
Sparus aurata,Dourada ,918.9
Sparus aurata,Dourada ,539.2
Sparus aurata,Dourada ,644.5
Sparus aurata,Dourada ,598.7
Sparus aurata,Dourada ,499.8
Sparus aurata,Dourada ,591.8
Sparus aurata,Dourada ,576
Sparus aurata,Dourada ,674.3
Sparus aurata,Dourada ,642.7
Sparus aurata,Dourada ,624.6
Sparus aurata,Dourada ,666.8
Sparus aurata,Dourada ,90.8
Sparus aurata,Dourada ,42.8
Sparus aurata,Dourada ,42.8
Sparus aurata,Dourada ,38.7
Sparus aurata,Dourada ,45.8
Sparus aurata,Dourada ,45.3
Sparus aurata,Dourada ,37.9
Sparus aurata,Dourada ,39.3
Sparus aurata,Dourada ,31.2
Sparus aurata,Dourada ,41.5
Sparus aurata,Dourada ,40
Sparus aurata,Dourada ,43.3
Sparus aurata,Dourada ,53.5
Sparus aurata,Dourada ,32.4
Sparus aurata,Dourada ,48.2
Sparus aurata,Dourada ,20.5
Sparus aurata,Dourada ,68.2
Sparus aurata,Dourada ,37
Sparus aurata,Dourada ,46.8
Sparus aurata,Dourada ,56.2
Sparus aurata,Dourada ,33.6
Sparus aurata,Dourada ,62.3
Sparus aurata,Dourada ,51.9
Sparus aurata,Dourada ,61.3
Sparus aurata,Dourada ,67.8
Sparus aurata,Dourada ,65.9
Sparus aurata,Dourada ,49.4
Sparus aurata,Dourada ,53.4
Sparus aurata,Dourada ,46.9
Sparus aurata,Dourada ,51.7
Sparus aurata,Dourada ,45.8
Sparus aurata,Dourada ,50.3
Sparus aurata,Dourada ,586.3
Sparus aurata,Dourada ,692
Sparus aurata,Dourada ,435.4
Sparus aurata,Dourada ,466.6
Sparus aurata,Dourada ,54
Sparus aurata,Dourada ,52
Sparus aurata,Dourada ,53.5
Sparus aurata,Dourada ,56.2
Sparus aurata,Dourada ,44.3
Sparus aurata,Dourada ,71.4
Sparus aurata,Dourada ,72.5
Sparus aurata,Dourada ,68
Sparus aurata,Dourada ,60.4
Sparus aurata,Dourada ,74.6
Sparus aurata,Dourada ,54.8
Sparus aurata,Dourada ,68.2
Sparus aurata,Dourada ,56.8
Sparus aurata,Dourada ,44
Sparus aurata,Dourada ,37.8
Sparus aurata,Dourada ,59.3
Sparus aurata,Dourada ,53.3
Sparus aurata,Dourada ,60.5
Sparus aurata,Dourada ,53.2
Sparus aurata,Dourada ,47.9
Sparus aurata,Dourada ,42.5
Sparus aurata,Dourada ,60.2
Sparus aurata,Dourada ,81.7
Sparus aurata,Dourada ,48
Sparus aurata,Dourada ,67.6
Sparus aurata,Dourada ,59.4
Sparus aurata,Dourada ,58.5
Sparus aurata,Dourada ,49.8
Sparus aurata,Dourada ,78.9
Sparus aurata,Dourada ,59
Sparus aurata,Dourada ,55.3
Sparus aurata,Dourada ,51.6
Sparus aurata,Dourada ,54.6
Sparus aurata,Dourada ,66.4
Sparus aurata,Dourada ,47.2
Sparus aurata,Dourada ,63.4
Sparus aurata,Dourada ,41.9
Sparus aurata,Dourada ,54.6
Sparus aurata,Dourada ,63.8
Sparus aurata,Dourada ,56.4
Sparus aurata,Dourada ,64.9
Sparus aurata,Dourada ,59.9
Sparus aurata,Dourada ,49.9
Sparus aurata,Dourada ,55.2
Sparus aurata,Dourada ,48.4
Sparus aurata,Dourada ,53
Sparus aurata,Dourada ,50.3
Sparus aurata,Dourada ,38.2
Sparus aurata,Dourada ,57.1
Sparus aurata,Dourada ,44.2
Sparus aurata,Dourada ,38.4
Sparus aurata,Dourada ,61.4
Sparus aurata,Dourada ,1.2
Sparus aurata,Dourada ,56.6
Sparus aurata,Dourada ,54.6
Sparus aurata,Dourada ,54.3
Sparus aurata,Dourada ,56.3
Sparus aurata,Dourada ,47.4
Sparus aurata,Dourada ,64.6
Sparus aurata,Dourada ,58.8
Sparus aurata,Dourada ,5.6
Sparus aurata,Dourada ,42.8
Sparus aurata,Dourada ,1.5
Sparus aurata,Dourada ,44.3
Sparus aurata,Dourada ,45
Sparus aurata,Dourada ,63.8
