species,size bins,count,
Dourada,4.75E-04,0,
Dourada,5.66E-04,0,
Dourada,6.74E-04,0,
Dourada,8.02E-04,0,
Dourada,9.55E-04,0,
Dourada,1.14E-03,0,
Dourada,1.35E-03,0,
Dourada,1.61E-03,0,
Dourada,1.92E-03,0,
Dourada,2.29E-03,0,
Dourada,2.72E-03,0,
Dourada,3.24E-03,0,
Dourada,3.86E-03,0,
Dourada,4.59E-03,0,
Dourada,5.47E-03,0,
Dourada,6.51E-03,0,
Dourada,7.75E-03,0,
Dourada,9.23E-03,0,
Dourada,1.10E-02,0,
Dourada,1.31E-02,0,
Dourada,1.56E-02,0,
Dourada,1.85E-02,0,
Dourada,2.21E-02,0,
Dourada,2.63E-02,0,
Dourada,3.13E-02,0,
Dourada,3.73E-02,0,
Dourada,4.44E-02,0,
Dourada,5.28E-02,0,
Dourada,6.29E-02,0,
Dourada,7.49E-02,0,
Dourada,8.92E-02,0,
Dourada,1.06E-01,0,
Dourada,1.26E-01,0,
Dourada,1.51E-01,0,
Dourada,1.79E-01,0,
Dourada,2.13E-01,0,
Dourada,2.54E-01,0,
Dourada,3.03E-01,0,
Dourada,3.60E-01,0,
Dourada,4.29E-01,0,
Dourada,5.11E-01,0,
Dourada,6.08E-01,0,
Dourada,7.24E-01,0,
Dourada,8.62E-01,0,
Dourada,1.03E+00,1,
Dourada,1.22E+00,0,
Dourada,1.46E+00,1,
Dourada,1.73E+00,0,
Dourada,2.06E+00,0,
Dourada,2.46E+00,0,
Dourada,2.92E+00,0,
Dourada,3.48E+00,0,
Dourada,4.15E+00,0,
Dourada,4.94E+00,1,
Dourada,5.88E+00,0,
Dourada,7.00E+00,0,
Dourada,8.33E+00,0,
Dourada,9.92E+00,1,
Dourada,1.18E+01,0,
Dourada,1.41E+01,1,
Dourada,1.67E+01,2,
Dourada,1.99E+01,3,
Dourada,2.37E+01,5,
Dourada,2.83E+01,8,
Dourada,3.37E+01,10,
Dourada,4.01E+01,21,
Dourada,4.77E+01,35,
Dourada,5.68E+01,26,
Dourada,6.76E+01,25,
Dourada,8.05E+01,10,
Dourada,9.59E+01,9,
Dourada,1.14E+02,2,
Dourada,1.36E+02,0,
Dourada,1.62E+02,0,
Dourada,1.93E+02,0,
Dourada,2.29E+02,1,
Dourada,2.73E+02,2,
Dourada,3.25E+02,0,
Dourada,3.87E+02,1,
Dourada,4.61E+02,6,
Dourada,5.49E+02,18,
Dourada,6.54E+02,8,
Dourada,7.78E+02,2,
Dourada,9.27E+02,0,
Dourada,1.10E+03,1,
Dourada,1.31E+03,1,
Dourada,1.56E+03,0,
Dourada,1.86E+03,0,
Dourada,2.22E+03,0,
Dourada,2.64E+03,0,
Dourada,3.14E+03,0,
Dourada,3.74E+03,0,
Dourada,4.46E+03,0,
Dourada,5.31E+03,0,
Dourada,6.32E+03,0,
Dourada,7.52E+03,0,
Dourada,8.96E+03,0,
Dourada,1.07E+04,0,
Dourada,1.27E+04,0,
Dourada,1.51E+04,0,
Choupa,4.75E-04,0,
Choupa,5.66E-04,0,
Choupa,6.74E-04,0,
Choupa,8.02E-04,0,
Choupa,9.55E-04,0,
Choupa,1.14E-03,0,
Choupa,1.35E-03,0,
Choupa,1.61E-03,0,
Choupa,1.92E-03,0,
Choupa,2.29E-03,0,
Choupa,2.72E-03,0,
Choupa,3.24E-03,0,
Choupa,3.86E-03,0,
Choupa,4.59E-03,0,
Choupa,5.47E-03,0,
Choupa,6.51E-03,0,
Choupa,7.75E-03,0,
Choupa,9.23E-03,0,
Choupa,1.10E-02,0,
Choupa,1.31E-02,0,
Choupa,1.56E-02,0,
Choupa,1.85E-02,0,
Choupa,2.21E-02,0,
Choupa,2.63E-02,0,
Choupa,3.13E-02,0,
Choupa,3.73E-02,0,
Choupa,4.44E-02,0,
Choupa,5.28E-02,0,
Choupa,6.29E-02,0,
Choupa,7.49E-02,0,
Choupa,8.92E-02,0,
Choupa,1.06E-01,0,
Choupa,1.26E-01,0,
Choupa,1.51E-01,0,
Choupa,1.79E-01,0,
Choupa,2.13E-01,0,
Choupa,2.54E-01,0,
Choupa,3.03E-01,0,
