Date,weight
12/04/1996,4.5
12/04/1996,4.4
12/04/1996,3.7
12/04/1996,3.7
12/04/1996,4.1
12/04/1996,4.6
12/04/1996,4.2
12/04/1996,4.7
12/04/1996,3.4
12/04/1996,3.7
12/04/1996,4.1
12/04/1996,5.4
12/04/1996,3.8
12/04/1996,4.8
12/04/1996,3.5
12/04/1996,3.7
12/04/1996,4
12/04/1996,3.9
12/04/1996,3.6
12/04/1996,3.3
12/04/1996,2.8
12/04/1996,4.1
12/04/1996,1.4
12/04/1996,3.8
12/04/1996,3.9
12/04/1996,4.1
12/04/1996,4.6
12/04/1996,3.9
12/04/1996,4.5
12/04/1996,4.4
12/04/1996,3.7
12/04/1996,3.7
12/04/1996,4.1
12/04/1996,4.6
12/04/1996,4.2
12/04/1996,4.7
12/04/1996,3.4
12/04/1996,3.7
12/04/1996,4.1
12/04/1996,5.4
12/04/1996,3.8
12/04/1996,4.8
12/04/1996,3.5
12/04/1996,3.7
12/04/1996,4
12/04/1996,3.9
12/04/1996,3.6
12/04/1996,3.3
12/04/1996,2.8
12/04/1996,4.1
12/04/1996,1.4
12/04/1996,3.8
12/04/1996,3.9
12/04/1996,4.1
12/04/1996,4.6
12/04/1996,3.9
09/09/1997,9
09/09/1997,7.8
09/09/1997,10.2
09/09/1997,8.8
09/09/1997,9.2
09/09/1997,11
09/09/1997,10.6
09/09/1997,9.8
09/09/1997,9.2
09/09/1997,9.9
09/09/1997,8.3
09/09/1997,9.9
09/09/1997,7.7
09/09/1997,8.8
09/09/1997,8.5
09/09/1997,9.9
09/09/1997,7.9
09/09/1997,6.4
09/09/1997,10.2
09/09/1997,8.3
09/09/1997,10.9
09/09/1997,6.9
09/09/1997,7.6
09/09/1997,11
09/09/1997,10.7
09/09/1997,7.2
09/09/1997,7.8
09/09/1997,6.8
09/09/1997,9.9
09/09/1997,7.5
09/09/1997,8.7
09/09/1997,6.2
09/09/1997,10.3
09/09/1997,9.8
09/09/1997,8.2
09/09/1997,6.7
09/09/1997,7.9
