Date,weight
25/02/1997,35.5
25/02/1997,101
25/02/1997,31
25/02/1997,32
25/02/1997,36.7
25/02/1997,25.9
25/02/1997,37.8
25/02/1997,26.2
25/02/1997,23.2
25/02/1997,19.3
25/02/1997,111.7
25/02/1997,31.8
25/02/1997,29.7
25/02/1997,32.1
25/02/1997,40.7
25/02/1997,37
25/02/1997,36.8
25/02/1997,27.9
25/02/1997,32.4
25/02/1997,26.8
25/02/1997,26.2
25/02/1997,22
25/02/1997,23.3
25/02/1997,19.8
25/02/1997,23.8
25/02/1997,23.4
25/02/1997,33.4
25/02/1997,27.2
25/02/1997,35.2
25/02/1997,30.6
25/02/1997,95.8
25/02/1997,21
25/02/1997,79.6
25/02/1997,35.8
25/02/1997,32.8
25/02/1997,85.8
25/02/1997,95.8
25/02/1997,129.6
25/02/1997,100.4
25/02/1997,97.2
25/02/1997,94.9
25/02/1997,95.6
25/02/1997,19.8
25/02/1997,31.5
25/02/1997,34.7
25/02/1997,28.6
25/02/1997,36.2
25/02/1997,34
25/02/1997,34.8
25/02/1997,27
25/02/1997,64.9
25/02/1997,100.3
25/02/1997,111.1
25/02/1997,92
25/02/1997,97.3
25/02/1997,33.4
25/02/1997,104.2
25/02/1997,87.2
25/02/1997,35.1
25/02/1997,29.3
25/02/1997,92.1
25/02/1997,112.4
25/02/1997,24.9
25/02/1997,31
27/02/1997,29.7
27/02/1997,97.8
27/02/1997,39.1
27/02/1997,27.5
27/02/1997,31.8
27/02/1997,31.5
27/02/1997,22.5
27/02/1997,30.4
27/02/1997,23.5
27/02/1997,31
27/02/1997,24.8
27/02/1997,32.8
27/02/1997,31.3
27/02/1997,58.4
27/02/1997,78.1
27/02/1997,55.6
27/02/1997,33.5
27/02/1997,28.6
27/02/1997,26.4
27/02/1997,30
27/02/1997,33.3
27/02/1997,31.8
27/02/1997,24.8
27/02/1997,30.5
27/02/1997,28.9
27/02/1997,28.3
27/02/1997,42.3
27/02/1997,32.9
