Date,weight
12/04/1996,5.5
12/04/1996,3.6
05/08/1996,105.4
05/08/1996,93.2
05/08/1996,56.6
05/08/1996,59.7
05/08/1996,41.3
06/08/1996,81.9
06/08/1996,93.4
06/08/1996,75.1
06/08/1996,56.7
06/08/1996,67.6
06/08/1996,68.5
06/08/1996,82
06/08/1996,67.7
06/08/1996,63.4
05/08/1996,25.8
05/08/1996,26.7
05/08/1996,23.6
05/08/1996,24.4
05/08/1996,3
05/08/1996,1.7
05/08/1996,2
05/08/1996,10
05/08/1996,3.7
05/08/1996,2
05/08/1996,1.8
05/08/1996,1.7
05/08/1996,2.2
05/08/1996,0.7
05/08/1996,17.8
25/02/1997,14.2
25/02/1997,21.6
25/02/1997,26.8
25/02/1997,75.4
25/02/1997,62.9
25/02/1997,39.4
25/02/1997,31.8
25/02/1997,55.8
25/02/1997,32.6
25/02/1997,33.7
25/02/1997,44.6
25/02/1997,65.5
25/02/1997,45.1
27/02/1997,37.8
27/02/1997,35.8
27/02/1997,77.2
27/02/1997,38
08/05/1997,11.9
08/05/1997,10.2
08/05/1997,20.9
08/05/1997,108.6
08/05/1997,82.7
08/05/1997,81.6
08/05/1997,39.8
08/05/1997,35.5
08/05/1997,86
08/05/1997,60.2
08/05/1997,82.6
08/05/1997,77.7
14/05/1997,8.3
14/05/1997,15.1
14/05/1997,16.4
14/05/1997,12.3
14/05/1997,17.8
14/05/1997,6.3
14/05/1997,11
14/05/1997,6
14/05/1997,7
14/05/1997,13.7
14/05/1997,15.5
14/05/1997,6.8
14/05/1997,9.9
14/05/1997,3.8
14/05/1997,9.2
14/05/1997,11.4
14/05/1997,6.3
14/05/1997,9.8
14/05/1997,9.2
14/05/1997,15.2
14/05/1997,9.7
14/05/1997,15.8
14/05/1997,12.3
14/05/1997,5.3
14/05/1997,3.5
14/05/1997,5.8
14/05/1997,12.9
14/05/1997,7.2
14/05/1997,8.8
14/05/1997,10.2
14/05/1997,12.9
14/05/1997,11.4
14/05/1997,5.6
14/05/1997,4.2
14/05/1997,63.6
14/05/1997,85.3
14/05/1997,12.4
14/05/1997,12
14/05/1997,3.7
14/05/1997,11.6
12/06/1997,14.3
12/06/1997,12.6
12/06/1997,24.2
12/06/1997,22.4
12/06/1997,22
12/06/1997,21.4
12/06/1997,19
12/06/1997,14.4
12/06/1997,24
12/06/1997,79.1
03/07/1997,23.5
03/07/1997,20
03/07/1997,65
08/08/1997,25.2
08/08/1997,24
08/08/1997,13.8
08/08/1997,22.3
08/08/1997,22.3
08/08/1997,13.4
08/08/1997,32.7
08/08/1997,21
08/08/1997,78.1
08/08/1997,88.3
08/08/1997,101.4
09/09/1997,24.5
09/09/1997,23.2
09/09/1997,20.2
09/09/1997,17.4
09/09/1997,17
09/09/1997,10.5
09/09/1997,22.3
09/09/1997,18.3
09/09/1997,20.5
09/09/1997,25.1
09/09/1997,19.2
09/09/1997,14
09/09/1997,16.5
09/09/1997,13.8
09/09/1997,18.3
09/09/1997,18
09/09/1997,25.8
09/09/1997,22
09/09/1997,14.1
09/09/1997,25.1
09/09/1997,27.1
09/09/1997,22.5
09/09/1997,15.6
09/09/1997,22.2
09/09/1997,8
09/09/1997,7.9
09/09/1997,17.8
09/09/1997,17.7
09/09/1997,8.5
09/09/1997,18
09/09/1997,24
09/09/1997,19.3
09/09/1997,21.1
09/09/1997,31.6
09/09/1997,8.6
09/09/1997,18.4
09/09/1997,22
09/09/1997,17.7
09/09/1997,30
10/04/1997,31
10/04/1997,25.4
10/04/1997,28.3
10/04/1997,21.9
10/04/1997,28.4
10/04/1997,32.6
10/04/1997,28.3
10/04/1997,29.2
10/04/1997,29.4
10/04/1997,31.9
10/04/1997,33.5
10/04/1997,27.3
10/04/1997,24.8
10/04/1997,32
10/04/1997,31.3
10/04/1997,26.2
10/04/1997,25.5
10/04/1997,27.6
10/04/1997,27.6
10/04/1997,23.1
10/04/1997,28.3
10/04/1997,24.1
10/04/1997,29.5
10/04/1997,31.5
10/04/1997,32
10/04/1997,26.3
10/04/1997,34
10/04/1997,29.9
10/04/1997,33
10/04/1997,29.1
10/04/1997,27
10/04/1997,25.5
10/04/1997,30
10/04/1997,32.7
10/04/1997,27.2
10/04/1997,27.7
10/04/1997,29.8
10/04/1997,31.3
10/04/1997,24
10/04/1997,24
10/04/1997,30.4
10/04/1997,30.4
10/04/1997,28.9
10/04/1997,32.1
10/04/1997,26.6
10/04/1997,22.8
10/04/1997,29.6
10/04/1997,25.5
10/04/1997,24
10/04/1997,32.2
10/04/1997,31.7
10/04/1997,25.6
10/04/1997,27.2
10/04/1997,66.5
10/04/1997,29.6
10/04/1997,32.4
10/04/1997,26.4
10/04/1997,24.4
10/04/1997,31.6
10/04/1997,25
10/04/1997,22.1
10/04/1997,28.3
10/04/1997,27.8
10/04/1997,29.8
10/04/1997,34.1
10/04/1997,26.4
10/04/1997,25.4
10/04/1997,24.4
10/04/1997,31.5
10/04/1997,27
10/04/1997,31.5
10/04/1997,29
10/04/1997,28.8
10/04/1997,26.6
10/04/1997,33.3
10/04/1997,24.7
10/04/1997,33.3
10/04/1997,24
10/04/1997,29.4
10/04/1997,31.2
10/04/1997,27.7
10/04/1997,27.5
10/04/1997,23.4
10/04/1997,25.6
10/04/1997,29
10/04/1997,29.4
10/04/1997,28.8
10/04/1997,26.6
10/04/1997,33.7
10/04/1997,29.6
10/04/1997,90.6
10/04/1997,71.3
10/04/1997,68.4
10/04/1997,104
10/04/1997,83.1
10/04/1997,37.2
10/04/1997,20.3
10/04/1997,28.4
10/04/1997,32.8
10/04/1997,29.8
10/04/1997,32
10/04/1997,27.7
10/04/1997,23.8
10/04/1997,30.6
10/04/1997,21.8
10/04/1997,21.2
10/04/1997,26.2
10/04/1997,30.5
10/04/1997,27.8
10/04/1997,25.1
10/04/1997,28
10/04/1997,33.5
10/04/1997,58
10/04/1997,26
10/04/1997,28.6
10/04/1997,26.6
10/04/1997,32.6
10/04/1997,30.6
10/04/1997,32.4
10/04/1997,22.1
10/04/1997,31.1
10/04/1997,29.3
10/04/1997,32.6
10/04/1997,29.3
10/04/1997,20.7
10/04/1997,29
10/04/1997,25.9
10/04/1997,31.9
10/04/1997,30.2
10/04/1997,28.1
