Date,weight
05/08/1996,117.7
05/08/1996,169.3
05/08/1996,142.8
06/08/1996,173
05/08/1996,19.6
05/08/1996,6.3
05/08/1996,8.8
05/08/1996,16.6
05/08/1996,5.5
05/08/1996,4.3
05/08/1996,4.1
05/08/1996,8.3
05/08/1996,6.2
05/08/1996,4.2
02/05/1997,19
02/05/1997,40.2
02/05/1997,23.9
02/05/1997,18.5
02/05/1997,30.2
02/05/1997,14.6
02/05/1997,27.8
02/05/1997,18.2
02/05/1997,21.8
02/05/1997,20.1
02/05/1997,17.4
02/05/1997,16.8
02/05/1997,12.9
02/05/1997,24.5
02/05/1997,29.8
02/05/1997,26.4
02/05/1997,26.7
02/05/1997,16.3
02/05/1997,16.1
02/05/1997,25.8
02/05/1997,25.9
02/05/1997,23.1
02/05/1997,14.8
02/05/1997,22.4
02/05/1997,16
02/05/1997,18.1
02/05/1997,20.2
02/05/1997,27.8
02/05/1997,17.1
02/05/1997,19.2
02/05/1997,18.9
02/05/1997,18.9
02/05/1997,17.5
02/05/1997,14.5
02/05/1997,21.3
02/05/1997,20.9
02/05/1997,24.4
02/05/1997,21.4
02/05/1997,12.2
02/05/1997,11.5
02/05/1997,32
02/05/1997,14.5
02/05/1997,25.9
02/05/1997,19.1
02/05/1997,172.7
14/05/1997,110.8
14/05/1997,38.6
14/05/1997,19.3
14/05/1997,23.4
14/05/1997,32.3
14/05/1997,19.9
14/05/1997,26.4
14/05/1997,14.4
14/05/1997,16.4
14/05/1997,14.5
14/05/1997,29.9
14/05/1997,24.4
14/05/1997,21.6
14/05/1997,20.2
14/05/1997,32.7
14/05/1997,26.3
14/05/1997,26.4
14/05/1997,28.4
14/05/1997,22.1
14/05/1997,25
14/05/1997,30.1
14/05/1997,21.4
14/05/1997,10.5
14/05/1997,20.6
14/05/1997,20.1
14/05/1997,22.4
14/05/1997,19
14/05/1997,22
14/05/1997,22
14/05/1997,13.5
14/05/1997,18.1
14/05/1997,16.4
14/05/1997,13.2
14/05/1997,19.7
14/05/1997,14.9
14/05/1997,41.6
14/05/1997,31.1
14/05/1997,23.5
14/05/1997,21.6
14/05/1997,23.4
14/05/1997,20.4
14/05/1997,16.4
14/05/1997,29
14/05/1997,11.5
14/05/1997,22.6
14/05/1997,15.3
14/05/1997,18.7
14/05/1997,23.5
14/05/1997,15
14/05/1997,20.7
14/05/1997,19.1
14/05/1997,80.2
14/05/1997,2026
09/09/1997,51.3
09/09/1997,33
09/09/1997,44.6
09/09/1997,45
09/09/1997,62
09/09/1997,67.2
09/09/1997,55.9
09/09/1997,67
09/09/1997,35.1
09/09/1997,27.8
09/09/1997,42
09/09/1997,37.2
09/09/1997,66.8
10/04/1997,341.2
10/04/1997,389.1
10/04/1997,345.9
10/04/1997,201.3
10/04/1997,191.1
