Date,weight
05/08/1996,172.7
05/08/1996,4
05/08/1996,3.4
05/08/1996,3.5
05/08/1996,3.6
14/05/1997,131.6
14/05/1997,55.4
14/05/1997,77
14/05/1997,86.2
14/05/1997,79.3
14/05/1997,56.5
14/05/1997,89.5
14/05/1997,54.6
14/05/1997,61.2
14/05/1997,64.8
14/05/1997,54.4
14/05/1997,55.9
14/05/1997,55.8
14/05/1997,59.6
14/05/1997,87.3
14/05/1997,105.2
14/05/1997,57.6
14/05/1997,79.9
14/05/1997,59.7
14/05/1997,61.2
14/05/1997,48.2
14/05/1997,98.3
14/05/1997,42.4
14/05/1997,94.9
14/05/1997,58.3
14/05/1997,61.4
14/05/1997,97.2
14/05/1997,58.9
09/09/1997,93.4
09/09/1997,91.2
09/09/1997,136.7
09/09/1997,91.7
09/09/1997,65.4
09/09/1997,44.2
09/09/1997,92.2
09/09/1997,5.7
09/09/1997,119.9
09/09/1997,103
09/09/1997,118.4
09/09/1997,119.3
09/09/1997,95.3
09/09/1997,110.1
09/09/1997,123.8
09/09/1997,42.2
10/04/1997,200.5
