Date,weight
12/06/1997,16.5
12/06/1997,306.4
12/06/1997,101.7
12/06/1997,266
12/06/1997,88.7
12/06/1997,108.3
12/06/1997,114.9
08/08/1997,30
08/08/1997,17.5
08/08/1997,112.9
08/08/1997,329.8
08/08/1997,116.6
08/08/1997,192
08/08/1997,296
05/08/1996,251.6
05/08/1996,177.8
06/08/1996,398.6
06/08/1996,373.8
06/08/1996,449.3
06/08/1996,323.5
06/08/1996,413.7
06/08/1996,311.6
06/08/1996,322.6
06/08/1996,335.8
06/08/1996,408.8
06/08/1996,299.2
06/08/1996,372.7
06/08/1996,463
06/08/1996,299.4
06/08/1996,281
06/08/1996,305.7
06/08/1996,244.1
06/08/1996,176.6
06/08/1996,166.4
05/08/1996,19.1
05/08/1996,18.8
05/08/1996,20.8
05/08/1996,21.5
05/08/1996,18.3
27/02/1997,375.3
05/02/1997,390.3
07/03/1997,113.2
07/03/1997,95.7
08/08/1997,30
08/08/1997,17.5
08/08/1997,112.9
08/08/1997,329.8
08/08/1997,116.6
08/08/1997,192
08/08/1997,296
09/09/1997,22.6
09/09/1997,37.1
09/09/1997,24.2
09/09/1997,25.7
09/09/1997,32.5
09/09/1997,23.7
09/09/1997,23.8
09/09/1997,31.2
09/09/1997,24.4
09/09/1997,33.2
09/09/1997,33.4
09/09/1997,18.8
09/09/1997,18
04/10/1997,34.8
04/10/1997,416.7
04/10/1997,357.8
04/10/1997,265.2
04/10/1997,123.6
04/10/1997,137.2
04/10/1997,132.7
04/10/1997,131.4
04/10/1997,103.4
04/10/1997,125.7
