Date,weight
02/05/1997,5.9
02/05/1997,6.2
02/05/1997,4.4
02/05/1997,5.7
02/05/1997,2
02/05/1997,8.3
02/05/1997,2.2
02/05/1997,2.6
02/05/1997,1.8
02/05/1997,1.8
02/05/1997,2.2
02/05/1997,2.2
02/05/1997,2
02/05/1997,0.8
02/05/1997,6.2
02/05/1997,6.8
02/05/1997,5.8
02/05/1997,6.9
02/05/1997,5.1
02/05/1997,5.8
02/05/1997,8.5
02/05/1997,5.9
02/05/1997,6.2
02/05/1997,2.5
02/05/1997,5.2
02/05/1997,8.3
02/05/1997,2.1
02/05/1997,1.9
02/05/1997,1.9
02/05/1997,7.4
02/05/1997,1.8
02/05/1997,2.3
02/05/1997,2.1
02/05/1997,2.7
02/05/1997,2.4
02/05/1997,9.2
02/05/1997,8
02/05/1997,2.3
02/05/1997,2.3
02/05/1997,2.1
02/05/1997,2.5
02/05/1997,2.1
02/05/1997,5.7
02/05/1997,6.4
02/05/1997,2.8
02/05/1997,2.5
02/05/1997,1.8
02/05/1997,1.9
02/05/1997,1.4
02/05/1997,1.5
02/05/1997,24
14/05/1997,7.6
14/05/1997,5.8
14/05/1997,6.2
14/05/1997,8
14/05/1997,3.5
14/05/1997,1.6
09/09/1997,10.8
09/09/1997,11.1
09/09/1997,4.6
09/09/1997,8.7
09/09/1997,10.4
09/09/1997,9.6
09/09/1997,11.6
09/09/1997,11.9
09/09/1997,9.3
09/09/1997,7.6
09/09/1997,10.4
09/09/1997,3.3
09/09/1997,12.8
09/09/1997,10.3
09/09/1997,8.4
09/09/1997,14.1
09/09/1997,9.2
09/09/1997,13.5
09/09/1997,10.6
09/09/1997,8.7
09/09/1997,9.7
09/09/1997,10.8
09/09/1997,10.1
09/09/1997,9.4
09/09/1997,9.6
09/09/1997,10.1
09/09/1997,8.1
09/09/1997,10.9
09/09/1997,11.1
09/09/1997,10.6
09/09/1997,11.3
09/09/1997,9
09/09/1997,8.9
09/09/1997,10.1
09/09/1997,9.1
09/09/1997,9.4
09/09/1997,10.9
09/09/1997,8.3
09/09/1997,8.8
09/09/1997,8.8
09/09/1997,9.9
09/09/1997,11.4
09/09/1997,10.8
09/09/1997,10.3
09/09/1997,10.3
09/09/1997,9.7
09/09/1997,13.1
09/09/1997,10.2
09/09/1997,9.5
09/09/1997,11.2
09/09/1997,8.4
09/09/1997,10.1
09/09/1997,10.8
09/09/1997,10.3
09/09/1997,10.8
09/09/1997,11.4
09/09/1997,9.4
09/09/1997,10.1
09/09/1997,8.9
09/09/1997,9
