Date,weight
27/02/1997,333.6
02/05/1997,43.3
02/05/1997,17.1
02/05/1997,15.9
02/05/1997,13.8
02/05/1997,14.4
02/05/1997,11.2
02/05/1997,15.6
02/05/1997,13.5
02/05/1997,13.2
02/05/1997,3.3
02/05/1997,10
02/05/1997,10.6
02/05/1997,6.5
02/05/1997,12.7
02/05/1997,9.8
02/05/1997,11.3
02/05/1997,14.2
02/05/1997,4.6
02/05/1997,10.6
02/05/1997,12.8
02/05/1997,5.4
02/05/1997,10.1
02/05/1997,12
02/05/1997,4.3
02/05/1997,6.2
02/05/1997,5.2
02/05/1997,23.7
08/05/1997,41.3
08/05/1997,51
08/05/1997,39.5
03/07/1997,407
03/07/1997,334.2
03/07/1997,92.7
03/07/1997,271.1
03/07/1997,317.6
03/07/1997,281.7
03/07/1997,250.6
08/08/1997,408
08/08/1997,14.5
08/08/1997,346
10/04/1997,327.2
10/04/1997,660.5
