Date,weight
12/04/1996,4.9
12/04/1996,4.6
12/04/1996,6.9
12/04/1996,5.4
12/04/1996,7
12/04/1996,3.4
12/04/1996,6.4
12/04/1996,4.4
12/04/1996,4.9
12/04/1996,4.6
12/04/1996,6.9
12/04/1996,5.4
12/04/1996,7
12/04/1996,3.4
12/04/1996,6.4
12/04/1996,4.4
05/08/1996,0.4
05/08/1996,0.3
05/08/1996,0.7
02/05/1997,7.1
02/05/1997,4.6
14/05/1997,4.6
14/05/1997,4.7
14/05/1997,4.6
14/05/1997,4.7
09/09/1997,8
09/09/1997,5.4
09/09/1997,1.8
09/09/1997,7
09/09/1997,1
09/09/1997,5.8
09/09/1997,1.3
09/09/1997,2.6
09/09/1997,1.5
09/09/1997,5.6
09/09/1997,4.2
09/09/1997,1.8
09/09/1997,4.3
09/09/1997,2.3
09/09/1997,5.9
09/09/1997,4.6
09/09/1997,2.4
09/09/1997,6.1
09/09/1997,1.3
09/09/1997,1.6
09/09/1997,5.8
09/09/1997,4.5
09/09/1997,2.7
09/09/1997,4.4
09/09/1997,1.5
09/09/1997,2
09/09/1997,2.5
09/09/1997,1.1
09/09/1997,1.4
09/09/1997,1.7
09/09/1997,1.3
09/09/1997,2.3
09/09/1997,1.8
09/09/1997,3.2
09/09/1997,1.2
09/09/1997,1.1
09/09/1997,1.1
09/09/1997,1.6
09/09/1997,4.7
09/09/1997,1.3
