Date,weight
12/04/1996,88
12/04/1996,58.4
12/04/1996,55.2
12/04/1996,53.5
12/04/1996,59
12/04/1996,148.7
12/04/1996,58.5
12/04/1996,61.2
12/04/1996,54
12/04/1996,88.3
12/04/1996,96.9
12/04/1996,71.1
12/04/1996,63.3
12/04/1996,62
12/04/1996,62
12/04/1996,68.4
12/04/1996,120.5
12/04/1996,93.62
12/04/1996,72.5
12/04/1996,67.1
12/04/1996,72.5
12/04/1996,71.1
12/04/1996,65.8
12/04/1996,71.5
12/04/1996,31.7
12/04/1996,47.2
12/04/1996,75.3
12/04/1996,68.4
12/04/1996,53.7
05/08/1996,73.9
05/08/1996,47.9
05/08/1996,64.6
05/08/1996,57
05/08/1996,45.4
05/08/1996,36.5
05/08/1996,36.7
05/08/1996,29.5
05/08/1996,47.9
05/08/1996,35.2
27/02/1997,53.5
27/02/1997,94.9
02/05/1997,117.8
02/05/1997,59.9
02/05/1997,56.6
02/05/1997,102.9
02/05/1997,65.1
02/05/1997,296.1
02/05/1997,115
02/05/1997,69.1
02/05/1997,40.6
02/05/1997,70.2
02/05/1997,43.6
02/05/1997,51
02/05/1997,46.4
02/05/1997,32.7
02/05/1997,25.6
02/05/1997,25.9
02/05/1997,23.7
02/05/1997,23.1
02/05/1997,15.1
02/05/1997,5.8
02/05/1997,7.8
02/05/1997,6.4
02/05/1997,6.1
02/05/1997,77.6
02/05/1997,76.2
02/05/1997,41.6
02/05/1997,32.8
02/05/1997,37.4
02/05/1997,23.8
02/05/1997,41.6
14/05/1997,56.8
14/05/1997,37.2
14/05/1997,67.4
14/05/1997,51.9
14/05/1997,60
14/05/1997,57.8
14/05/1997,64.9
14/05/1997,85.2
14/05/1997,51.9
14/05/1997,23.2
14/05/1997,46.5
14/05/1997,26.4
14/05/1997,40
14/05/1997,56.3
14/05/1997,52.6
14/05/1997,7.6
14/05/1997,4.1
12/06/1997,73.1
12/06/1997,94.5
07/03/1997,42.4
04/10/1997,102.3
04/10/1997,173.2
04/10/1997,76.2
04/10/1997,81.5
04/10/1997,54.6
04/10/1997,125.7
04/10/1997,123
04/10/1997,93.9
