Choupa (S. cantharus),,,,,,,,,,,,
,,,,,,,,,,,,
Date,CODE,species,length (cm),weight (g),,,length (cm),wet weight (g),dry weight (g),dry weight M-2(total),dryweight M-2 average,
25/02/1997,Z3,Choupa,14.4,35.5,,average,13.76666667,39.45187638,10.65200662,0.8042265,0.001775334,
25/02/1997,Z4,Choupa,19.5,101,,total,,17871.7,4825.359,,,
25/02/1997,Z5,Choupa,13.9,31,,,,,,,,
25/02/1997,Z8,Choupa,13.5,32,,gWW/m2,gDW/m2,Biomass in habitat area (gDWm?2),,,,
25/02/1997,Z10,Choupa,14.2,36.7,,2.978616667,0.8042265,0.134,,,,
25/02/1997,Z11,Choupa,12.7,25.9,,,,,,,,
25/02/1997,Z14,Choupa,14.4,37.8,,,Paper value,0.135,,,,
25/02/1997,Z15,Choupa,12.7,26.2,,,,,,,,
25/02/1997,Z16,Choupa,12.5,23.2,,,,,,,,
25/02/1997,Z17,Choupa,11.8,19.3,,,,,,,,
25/02/1997,Z19,Choupa,20.5,111.7,,,,,,,,
25/02/1997,,Choupa,13.7,31.8,,,,,,,,
25/02/1997,,Choupa,13.2,29.7,,,,,,,,
25/02/1997,,Choupa,13.6,32.1,,,,,,,,
25/02/1997,,Choupa,14.7,40.7,,,,,,,,
25/02/1997,,Choupa,14.1,37,,,,,,,,
25/02/1997,,Choupa,14.6,36.8,,,,,,,,
25/02/1997,,Choupa,12.9,27.9,,,,,,,,
25/02/1997,,Choupa,13.8,32.4,,,,,,,,
25/02/1997,,Choupa,12.6,26.8,,,,,,,,
25/02/1997,,Choupa,12.9,26.2,,,,,,,,
25/02/1997,,Choupa,12.1,22,,,,,,,,
25/02/1997,,Choupa,12.5,23.3,,,,,,,,
25/02/1997,,Choupa,11.8,19.8,,,,,,,,
25/02/1997,,Choupa,12.5,23.8,,,,,,,,
25/02/1997,,Choupa,12.4,23.4,,,,,,,,
25/02/1997,,Choupa,14.1,33.4,,,,,,,,
25/02/1997,,Choupa,13,27.2,,,,,,,,
25/02/1997,,Choupa,14.1,35.2,,,,,,,,
25/02/1997,,Choupa,13.4,30.6,,,,,,,,
25/02/1997,,Choupa,19.6,95.8,,,,,,,,
25/02/1997,,Choupa,12.2,21,,,,,,,,
25/02/1997,,Choupa,18.7,79.6,,,,,,,,
25/02/1997,,Choupa,14.3,35.8,,,,,,,,
25/02/1997,,Choupa,13.8,32.8,,,,,,,,
25/02/1997,,Choupa,18.7,85.8,,,,,,,,
25/02/1997,,Choupa,19.8,95.8,,,,,,,,
25/02/1997,,Choupa,21.9,129.6,,,,,,,,
25/02/1997,,Choupa,19.4,100.4,,,,,,,,
25/02/1997,,Choupa,19.6,97.2,,,,,,,,
25/02/1997,,Choupa,18.2,94.9,,,,,,,,
25/02/1997,,Choupa,19.4,95.6,,,,,,,,
25/02/1997,,Choupa,12.1,19.8,,,,,,,,
25/02/1997,,Choupa,13.6,31.5,,,,,,,,
25/02/1997,,Choupa,14.2,34.7,,,,,,,,
25/02/1997,,Choupa,13,28.6,,,,,,,,
25/02/1997,,Choupa,14.2,36.2,,,,,,,,
25/02/1997,,Choupa,13.6,34,,,,,,,,
25/02/1997,,Choupa,13.9,34.8,,,,,,,,
25/02/1997,,Choupa,13,27,,,,,,,,
25/02/1997,,Choupa,17.3,64.9,,,,,,,,
25/02/1997,,Choupa,19.7,100.3,,,,,,,,
25/02/1997,,Choupa,20.5,111.1,,,,,,,,
25/02/1997,,Choupa,19.4,92,,,,,,,,
25/02/1997,,Choupa,19.1,97.3,,,,,,,,
25/02/1997,,Choupa,13.8,33.4,,,,,,,,
25/02/1997,,Choupa,18.3,104.2,,,,,,,,
25/02/1997,,Choupa,18.8,87.2,,,,,,,,
25/02/1997,,Choupa,14.3,35.1,,,,,,,,
25/02/1997,,Choupa,13,29.3,,,,,,,,
25/02/1997,,Choupa,19,92.1,,,,,,,,
25/02/1997,,Choupa,20.8,112.4,,,,,,,,
