Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
638.7,35.5,5.4,53.5,1037.5,961.3,151.6,16.7,107.2,14.2,99.7,7.1,131.6,333.6,127.5,33.5,21.8,9,5.9,19
1145.6,101,14.9,94.9,1268.5,,,,138.8,21.6,106.9,4.6,55.4,43.3,,30.1,27.4,7.8,6.2,40.2
676.2,31,5.3,117.8,151.6,,,,186.9,26.8,89.2,4.6,77,17.1,,25.2,33.5,10.2,4.4,23.9
589.1,32,6.8,59.9,110.5,,,,,75.4,394.1,4.7,86.2,15.9,,20.5,14.7,8.8,5.7,18.5
258.9,36.7,9.2,56.6,38.7,,,,,62.9,423.2,4.6,79.3,13.8,,18.7,33.5,9.2,2,30.2
744.2,25.9,10.5,102.9,42.7,,,,,39.4,107.5,4.7,56.5,14.4,,11.5,15.4,11,8.3,14.6
677.3,37.8,5.6,65.1,156.3,,,,,31.8,59,8,89.5,11.2,,13.5,25.4,10.6,2.2,27.8
639.9,26.2,3.9,296.1,51.5,,,,,55.8,68.6,5.4,54.6,15.6,,19.6,33.7,9.8,2.6,18.2
554.5,23.2,6.7,115,31.4,,,,,32.6,67.6,1.8,61.2,13.5,,23.9,13.6,9.2,1.8,21.8
630.8,19.3,,69.1,24.4,,,,,33.7,3.7,7,64.8,13.2,,14.4,29.5,9.9,1.8,20.1
657.8,111.7,,40.6,38.2,,,,,44.6,2.6,1,54.4,3.3,,21.8,37,8.3,2.2,17.4
628.6,31.8,,70.2,70,,,,,65.5,4.2,5.8,55.9,10,,11.1,32.4,9.9,2.2,16.8
608.6,29.7,,43.6,18.4,,,,,45.1,2.2,1.3,55.8,10.6,,14.1,22,7.7,2,12.9
467.3,32.1,,51,,,,,,37.8,4.8,2.6,59.6,6.5,,12.1,23.1,8.8,0.8,24.5
642.2,40.7,,46.4,,,,,,35.8,4.6,1.5,87.3,12.7,,21.4,17.2,8.5,6.2,29.8
1403.2,37,,32.7,,,,,,77.2,63.8,5.6,105.2,9.8,,11.8,28.9,9.9,6.8,26.4
301.7,36.8,,25.6,,,,,,38,7.4,4.2,57.6,11.3,,9.4,30.6,7.9,5.8,26.7
694.2,27.9,,25.9,,,,,,11.9,16.5,1.8,79.9,14.2,,12.4,20.7,6.4,6.9,16.3
853.2,32.4,,23.7,,,,,,10.2,306.4,4.3,59.7,4.6,,8.9,29.7,10.2,5.1,16.1
598.8,26.8,,23.1,,,,,,20.9,101.7,2.3,61.2,10.6,,11.8,21.8,8.3,5.8,25.8
918.9,26.2,,15.1,,,,,,108.6,266,5.9,48.2,12.8,,19.1,27.2,10.9,8.5,25.9
539.2,22,,5.8,,,,,,82.7,88.7,4.6,98.3,5.4,,16,17.2,6.9,5.9,23.1
644.5,23.3,,7.8,,,,,,81.6,108.3,2.4,42.4,10.1,,13.5,24,7.6,6.2,14.8
598.7,19.8,,6.4,,,,,,39.8,114.9,6.1,94.9,12,,9,11.2,11,2.5,22.4
499.8,23.8,,6.1,,,,,,35.5,30,1.3,58.3,4.3,,9,21.4,10.7,5.2,16
591.8,23.4,,77.6,,,,,,86,17.5,1.6,61.4,6.2,,13.5,103,7.2,8.3,18.1
576,33.4,,76.2,,,,,,60.2,112.9,5.8,97.2,5.2,,22.7,17.1,7.8,2.1,20.2
674.3,27.2,,41.6,,,,,,82.6,329.8,4.5,58.9,23.7,,21.4,21.8,6.8,1.9,27.8
642.7,35.2,,32.8,,,,,,77.7,116.6,2.7,93.4,41.3,,8.8,11.5,9.9,1.9,17.1
624.6,30.6,,37.4,,,,,,8.3,192,4.4,91.2,51,,2.7,17.2,7.5,7.4,19.2
666.8,95.8,,23.8,,,,,,15.1,296,1.5,136.7,39.5,,5.6,26.1,8.7,1.8,18.9
90.8,21,,41.6,,,,,,16.4,375.3,2,91.7,407,,20.3,10.8,6.2,2.3,18.9
42.8,79.6,,56.8,,,,,,12.3,390.3,2.5,65.4,334.2,,24,20.2,10.3,2.1,17.5
