Scientific name,Species,w_min,w_inf,w_mat,beta,sigma,r_max,k_vb,rho_detritus,interaction_p,Biomass in habitat area (gDWm-2),Production/biomass (year-1),Consumption/biomass (year-1),Unassimilated/consumption,minimum sampling size (g)
Sparus aurata,Dourada ,0.001,1722,297,242,1.8,,0.26,0,0,0.258,0.46,4.66,0.2,0.8
spondyliosoma cantharus,Choupa,0.000654,640,122,242,1.8,,0.3,0,0,0.135,0.52,4.6,0.2,0.8
Dicentrarchus punctatus,baila,0.0013,15116,1598,160.5,1.5,,0.07,0,0,0.017,0.41,4.91,0.2,0.8
Halobatrachus didactylus,toadfish,0.00629,2863,455,160.5,1.5,,0.13,0,0,0.017,0.41,4.91,0.2,0.8
Anguilla anguilla,Eel,0.0008822,1642.8,220,160.5,1.5,,0.09,0,0,0.017,0.41,4.91,0.2,0.8
Dentex dentex,Pargo,0.000958,8056.9,1164,160.5,1.5,,0.1,0,0,0.017,0.41,4.91,0.2,0.8
Belone belone,garfish,0.002269,190.6,31.5,160.5,1.5,,0.34,0,0,0.017,0.41,4.91,0.2,0.8
Dicentrarchus labrax,Seabass,0.0013,4623,716,160.5,1.5,,0.2,0,0,0.017,0.41,4.91,0.2,0.8
Solea senegalensis,sole,0.001,1700.6,274,242,1.8,,0.18,0,0,0.308333333,0.63,6.06,0.2,0.8
Diplodus annullaris,Mucharra,0.0006,60.9,14.5,242,1.8,,0.47,0,0,0.308333333,0.63,6.06,0.2,0.8
Diplodus vulgaris,Safia,0.0006,3074.3,498,242,1.8,,0.08,0,0,0.308333333,0.63,6.06,0.2,0.8
Atherina cf. boyeri,silverside,0.001,33,7.9,242,1.8,,0.16,0,0,0.308333333,0.63,6.06,0.2,0.8
Mullus barbatus,red mullet,0.00075,89.2,19.5,242,1.8,,0.44,0,0,0.308333333,0.63,6.06,0.2,0.8
Diplodus sargus,Sargo,0.00085,3502.5,565,242,1.8,,0.1,0,0,0.308333333,0.63,6.06,0.2,0.8
Sarpa salpa,Salema,0.0006,1330.1,230,242,1.8,,0.23,0,0,0.308333333,0.63,6.06,0.2,0.8
labrus sp,wrasse,0.000725,178.2,36.7,242,1.8,,0.34,0.1044981,1,0.63,1.815,16.587,0.2,0.8
gobidae sp,goby,0.0008,5.5,1.4,242,1.8,,0.94,0.1044981,1,0.63,1.815,16.587,0.2,0.8
Engraulis encrasicholus,anchovy,0.00135,57.3,11.8,243488,1.966666667,,0.4,0.054169,1,0.019,0.89,28.51,0.2,0.8
Sardina pilchardus,sardine,0.0015,37.7,8.9,243488,1.966666667,,0.48,0.054169,1,0.019,0.89,28.51,0.2,0.8
Chelon labrosus,grey mullet,0.00135,3368.4,568,243488,1.966666667,,0.22,0.32886,0,0.058,0.28,9,0.2,0.8
Annelidia,worms,0.15,3.05,0.7625,,,,0.75,3.834,1,6.588,4.2,30,0.4,0.125
Gastropoda,snails,0.001485,0.1525,0.038125,,,,0.75,9.3852,0,1.738,1.99,7.5,0.4,0.125
Bivalvia ,bivalve,0.06,3.8125,0.953125,,,,0.75,20.115,1,2.682,4.43,15,0.4,0.125
Crustacea ,e.g shrimp/crab,0.0004752,0.0488,0.0122,,,,0.75,154.1592,1,0.639,2.53,30,0.4,0.125
Zooplankton,,,,,,,,,4.5,1,0.075,150,300,0.4,0.000216
Phytoplankton,,,,,,,,,,,0.286,475,,,0.000216
Detritus,,,,,,,,,,,,,,,
