cm,Lophius sp,Merluccius merluccius,Micromesistius potassou,Mullus barbatus,Mullus surmuletus,Trachurus sp,Trisopterus capelanus,Illex condieti,Aspitrigla spp,Astropecten irregularis
3.1-4,,,,,,,,2,,
4.1-5,,,,,,,,1,,
5.1-6,1,,,,,,4,1,1,
6.1-7,,2,,,,,3,1,,
7.1-8,4,6,3,,,,4,6,7,
8.1-9,13,13,9,,,,2,2,9,
9.1-10,14,5,3,,2,1,1,,14,
10.1-11,10,2,0,12,7,5,0,,21,
11.1-12,7,2,0,10,10,2,3,,16,
12.1-13,7,4,2,20,15,2,1,,3,2
13.1-14,12,8,2,28,32,4,8,,5,2
14.1-15,6,7,4,46,12,15,14,,2,1
15.1-16,4,15,14,52,9,43,21,,1,4
16.1-17,3,13,13,40,11,50,15,,,2
17.1-18,0,14,8,27,13,33,7,,1,0
18.1-19,4,13,5,25,21,5,10,,,0
19.1-20,4,24,1,23,23,19,4,,,1
20.1-21,4,20,3,14,13,14,1,,,
21.1-22,5,11,5,12,11,8,0,,,
22.1-23,3,13,10,3,8,8,1,,,
23.1-24,3,12,17,4,5,6,0,,,
24.1-25,0,9,26,,4,3,0,,,
25.1-26,1,6,6,,2,1,1,,,
26.1-27,4,7,5,,2,1,,,,
27.1-28,3,11,4,,0,2,,,,
28.1-29,2,13,,,1,2,,,,
29.1-30,2,11,,,2,1,,,,
30.1-31,0,11,,,0,1,,,,
31.1-32,1,8,,,1,2,,,,
32.1-33,1,15,,,,0,,,,
33.1-34,2,5,,,,0,,,,
34.1-35,4,4,,,,2,,,,
35.1-36,7,8,,,,,,,,
36.1-37,4,8,,,,,,,,
37.1-38,1,3,,,,,,,,
38.1-39,3,2,,,,,,,,
39.1-40,1,0,,,,,,,,
40.1-41,3,1,,,,,,,,
41.1-42,3,2,,,,,,,,
42.1-43,0,2,,,,,,,,
43.1-44,1,1,,,,,,,,
44.1-45,0,,,,,,,,,
45.1-46,1,,,,,,,,,
46.1-47,1,,,,,,,,,
47.1-48,1,,,,,,,,,
48.1-49,0,,,,,,,,,
49.1-50,2,,,,,,,,,
50.1-51,0,,,,,,,,,
51.1-52,0,,,,,,,,,
52.2-53,0,,,,,,,,,
53.1-54,0,,,,,,,,,
54.1-55,0,,,,,,,,,
55.1-56,0,,,,,,,,,
56.1-57,1,,,,,,,,,
