species,latin name,w_inf_old,w_inf,w_mat,beta,sigma,r_max,k_vb,t0,adult_max_length,biomass_observed,abundance_observed,cutoff_size,cutoff_length,,a,b,l_mat,l_min,w_min,detQ,scavQ,,egg_length,interaction_p,alpha,l50,SR,l25,catchability,sel_func
Small worms DF,Small worms DF,0.00624,0.12784572505080,0.00156000,1,1,16000,0.2,-0.1,0.2,,279.6000,0.00009246977501952,0.01,,6.223,2.414,0.01,0.001,3.56E-07,1,0,,0.001,0,0.1,15,2,14,0,sigmoid_length
Small crustacea DF,Small crustacea DF,4.45E-02,0.04452887244741,0.00268980,1,1,100000,0.4,-0.1,0.51375,,79.6000,0.00000036237229739,0.01,,0.32296465,2.975,0.2,0.01,3.62E-07,1,0,,0.001,0,0.1,15,2,14,0,sigmoid_length
Large worms DF,Large worms DF,0.68,1.16765190297899,0.02390000,1,1,16000,0.2,-0.1,0.5,,257.0000,0.00009246977501952,0.01,,6.223,2.414,0.1,0.001,3.56E-07,1,0,,0.015,0,0.1,15,2,14,0,sigmoid_length
Large crustacea P/S,Large crustacea P/S,0.24770951,0.24770950586204,0.05469170,10,2,100000,0.4,-0.1,0.8,,4.9500,0.00000018949674907,0.01,,0.50745994,3.2139,0.5,0.01,3.10E-04,0,1,,0.015,0,0.1,15,2,14,0,sigmoid_length
Suprabenthic crustacea,Suprabenthic crustacea,,0.50745994000000,0.05469170,10,2,100000,0.4,-0.1,1,0.02992,,0.00000018949674907,0.01,,0.50745994,3.2139,0.5,0.01,3.10E-04,0,1,,0.015,0,0.1,15,2,14,0,sigmoid_length
Large worms P/S,Large worms P/S,0.68,1.16765190297899,0.02390000,10,2,16000,0.2,-0.1,0.5,,199.0000,0.00009246977501952,0.01,,6.223,2.414,0.1,0.001,3.56E-07,0,1,,0.015,0,0.1,15,2,14,0,sigmoid_length
Very large worm,Bristle worm,,88.26133861342830,1.16700000,10,2,16000,0.2,-0.1,3,,95.0000,0.00009246977501952,0.01,,6.223,2.414,0.5,0.01,9.25E-05,1,0,,0.015,0,0.1,15,2,14,0,sigmoid_length
Starfish,Astropecten irregularis,97.79,227.50620968736600,52.98000000,40,2,79000,0.6,-0.1,17,,0.1181,0.01417594921983040,0.5,,0.0951,2.746,10,0.1,1.71E-04,0,1,,0.001,0,0.1,15,2,14,0.5,sigmoid_length
Nut clam,Nucula nucleus,2.36707269,36.82178298178370,0.29600000,1,1,79000,0.3,-0.1,5,,0.0131,0.03707701938794640,0.5,,0.296,2.997,1,0.01,3.00E-07,1,0,,0.0001,0,0.1,15,2,14,0,sigmoid_length
Murex,Bolinus brandaris,89.9380262,22.13513639776110,6.66490138,8,2,79000,0.2,-0.31,6,,0.0632,0.01906371179335730,0.5,,0.1365,2.84,4,0.1,1.88E-04,0,1,,0.001,0,0.1,15,2,14,0.5,sigmoid_length
Angular crab,Goneplax rhomboides,37.4638286,37.46382855613600,9.14000000,8,2,155000,1.1,-0.1,3,,0.0337,0.07365497874179080,0.5,,0.8207,3.478,2,0.1,2.73E-04,0,1,,0.001,0,0.1,15,2,14,0.5,sigmoid_length
Harbour crab,Liocarcinus depurator,29.67,29.67962438893420,11.62000000,8,2,155000,1.1,-0.1,4,,0.0272,0.03389933843651630,0.5,,0.3243,3.258,3,0.1,1.79E-04,0,1,,0.001,0,0.1,15,2,14,0.5,sigmoid_length
